-6, -104, 1023
-10, -103, 1029
6, -135, 1022
6, -135, 1022
14, -74, 1022
6, -43, 1037
-72, -71, 1017
-11, -16, 1007
-11, -16, 1007
-18, -60, 1033
15, -25, 1031
39, 0, 1010
-5, -33, 1021
-27, -1, 1050
-27, -1, 1050
44, -38, 1022
-20, -19, 1030
0, -10, 1010
-4, -37, 1011
-4, -37, 1011
-29, 7, 1032
-14, 65, 1051
-18, -3, 1012
-30, 19, 1036
-30, 19, 1036
-31, 32, 1018
15, 15, 1019
1, 12, 1038
-17, -36, 1017
-17, -36, 1017
5, -24, 1024
0, 4, 1027
-17, 7, 1033
-17, 7, 1033
-3, -4, 1021
-12, -4, 1022
-16, 34, 1027
-7, 21, 1023
-7, 21, 1023
-43, 85, 1032
9, 52, 1023
-10, 65, 1027
6, 31, 1024
6, 31, 1024
-8, -15, 1025
-7, -15, 1025
6, -15, 1024
6, -15, 1024
84, -25, 1026
79, -18, 1030
68, -15, 1027
90, -41, 1025
90, -41, 1025
38, -20, 1016
18, -45, 1043
40, -25, 1002
17, 1, 1040
17, 1, 1040
10, 12, 1005
-19, -1, 1033
-16, -33, 1048
-16, -33, 1048
4, -39, 1019
-57, -34, 1002
-40, 3, 1047
-63, 6, 1021
-63, 6, 1021
-46, -13, 1018
-41, -14, 1022
-71, -1, 1035
-16, -6, 1021
-74, -2, 1020
-74, -2, 1020
-64, -12, 1029
-73, -12, 1030
-48, -8, 1020
